{'Nom': 'Person 1', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 3, 'Total_Occurrences': 69, 'Activity_Ratio': 0.043478260869565216, 'Normalized_Rating': 5}
{'Nom': 'Person 118', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 119', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 119', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 119', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 12', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 2, 'Total_Occurrences': 71, 'Activity_Ratio': 0.028169014084507043, 'Normalized_Rating': 3}
{'Nom': 'Person 12', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 120', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 120', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 121', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 122', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 122', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 123', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 123', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 123', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 124', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 124', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 124', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 125', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 126', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 127', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 127', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 128', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 129', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 2, 'Total_Occurrences': 60, 'Activity_Ratio': 0.03333333333333333, 'Normalized_Rating': 5}
{'Nom': 'Person 129', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 13', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 130', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 130', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 130', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 131', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 132', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 133', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 2, 'Total_Occurrences': 67, 'Activity_Ratio': 0.029850746268656716, 'Normalized_Rating': 5}
{'Nom': 'Person 133', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 134', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 2, 'Total_Occurrences': 61, 'Activity_Ratio': 0.03278688524590164, 'Normalized_Rating': 5}
{'Nom': 'Person 135', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 136', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 2, 'Total_Occurrences': 60, 'Activity_Ratio': 0.03333333333333333, 'Normalized_Rating': 5}
{'Nom': 'Person 136', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 137', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 138', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 139', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 139', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 14', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 2, 'Total_Occurrences': 71, 'Activity_Ratio': 0.028169014084507043, 'Normalized_Rating': 3}
{'Nom': 'Person 140', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 140', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 140', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 141', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 142', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 143', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 144', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 145', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 145', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 146', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 2, 'Total_Occurrences': 67, 'Activity_Ratio': 0.029850746268656716, 'Normalized_Rating': 5}
{'Nom': 'Person 147', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 148', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 149', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 149', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 15', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 2, 'Total_Occurrences': 60, 'Activity_Ratio': 0.03333333333333333, 'Normalized_Rating': 5}
{'Nom': 'Person 15', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 150', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 151', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 151', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 152', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 153', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 154', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 154', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 155', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 156', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 2, 'Total_Occurrences': 69, 'Activity_Ratio': 0.028985507246376812, 'Normalized_Rating': 3}
{'Nom': 'Person 156', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 157', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 2, 'Total_Occurrences': 61, 'Activity_Ratio': 0.03278688524590164, 'Normalized_Rating': 5}
{'Nom': 'Person 158', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 158', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 159', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 159', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 16', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 160', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 160', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 160', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 161', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 162', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 162', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 163', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 163', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 164', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 165', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 166', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 167', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 167', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 167', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 168', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 168', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 168', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 169', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 2, 'Total_Occurrences': 69, 'Activity_Ratio': 0.028985507246376812, 'Normalized_Rating': 3}
{'Nom': 'Person 169', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 17', 'Activity': 'Webinar: Modern Web Development with React', 'Person_Activity_Counts': 1, 'Total_Occurrences': 65, 'Activity_Ratio': 0.015384615384615385, 'Normalized_Rating': 2}
{'Nom': 'Person 170', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
{'Nom': 'Person 170', 'Activity': 'Cours: Advanced Java Programming', 'Person_Activity_Counts': 1, 'Total_Occurrences': 60, 'Activity_Ratio': 0.016666666666666666, 'Normalized_Rating': 2}
{'Nom': 'Person 171', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 2, 'Total_Occurrences': 69, 'Activity_Ratio': 0.028985507246376812, 'Normalized_Rating': 3}
{'Nom': 'Person 172', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 172', 'Activity': 'Hackathon: Open Source Software', 'Person_Activity_Counts': 1, 'Total_Occurrences': 67, 'Activity_Ratio': 0.014925373134328358, 'Normalized_Rating': 2}
{'Nom': 'Person 173', 'Activity': 'Conférence: DevOps Summit', 'Person_Activity_Counts': 1, 'Total_Occurrences': 69, 'Activity_Ratio': 0.014492753623188406, 'Normalized_Rating': 2}
{'Nom': 'Person 173', 'Activity': 'Projet: Full Stack Web Development', 'Person_Activity_Counts': 1, 'Total_Occurrences': 61, 'Activity_Ratio': 0.01639344262295082, 'Normalized_Rating': 2}
{'Nom': 'Person 174', 'Activity': 'Atelier: Kubernetes for Developers', 'Person_Activity_Counts': 1, 'Total_Occurrences': 71, 'Activity_Ratio': 0.014084507042253521, 'Normalized_Rating': 2}
